epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1926,5.74129,16.1382,3.87609,0,0,0,0,6.16937,11.2687,4.2045,5.712e-05,5.712e-05,5.712e-05
2,13.0506,5.32185,16.6013,3.69497,0,0,0,0,6.17267,11.2773,4.20827,0.000106147,0.000106147,0.000106147
3,20.0149,5.26187,17.4876,3.55351,0,0,0,0,6.17735,11.2674,4.21001,0.000143157,0.000143157,0.000143157
4,26.1668,5.63069,16.2511,3.83557,0,0,0,0,6.17617,11.2507,4.20164,0.000168151,0.000168151,0.000168151
5,32.2518,5.18154,15.4891,3.57559,0,0,0,0,6.1587,11.4885,4.17421,0.000181128,0.000181128,0.000181128
6,38.564,5.66651,16.1553,3.71859,0,0,0,0,6.03308,11.3715,4.07745,0.000180285,0.000180285,0.000180285
7,44.5793,5.22915,14.3904,3.78788,0,0,0,0,5.90306,11.3603,3.97733,0.000144942,0.000144942,0.000144942
8,50.4989,5.24,17.468,3.64724,0,0,0,0,5.65748,11.4279,3.87019,0.000109599,0.000109599,0.000109599
9,57.0364,4.77735,15.7399,3.51423,0,0,0,0,5.52502,11.1145,3.83033,7.4256e-05,7.4256e-05,7.4256e-05
10,63.1681,4.5236,17.0405,3.16099,0,0,0,0,5.32768,11.0427,3.75661,3.8913e-05,3.8913e-05,3.8913e-05
